NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
57, 4.180401708862e-02, 1.978840699810e-02, 0.000000000000e+00, -7.532556386044e-08, -2.030451665213e-08, 8.230299158245e-10, -6.207313466196e-07, -1.481309288195e-08, -9.999999999991e+05, 9.999999999994e-03, -2.436541998256e-15, 9.876358989894e-17, 9.999999999961e-03, -1.777571145833e-15, -4.999999999995e-02
58, 2.163069550521e-02, 6.523657748886e-02, 0.000000000000e+00, 9.720533853397e-07, 1.179494508429e-07, 7.278761168254e-09, -2.743297955021e-07, 5.031529301998e-08, -9.999999999997e+05, 1.000000000005e-02, 1.415393410115e-14, 8.734513401905e-16, 9.999999999973e-03, 6.037835162398e-15, -4.999999999999e-02
59, 8.044904144512e-02, 6.515165955014e-02, 0.000000000000e+00, 1.766311470419e-07, -2.171297056601e-07, -3.264964414441e-08, -1.336158473148e-06, 2.476036923477e-07, -9.999999999985e+05, 1.000000000001e-02, -2.605556467921e-14, -3.917957297329e-15, 9.999999999916e-03, 2.971244308173e-14, -4.999999999991e-02
60, 6.466893692047e-02, 8.245050090398e-02, 0.000000000000e+00, 1.319215193184e-06, 1.912488461065e-07, -1.380491340109e-07, -6.830838780540e-07, 1.987964538076e-07, -9.999999999989e+05, 1.000000000006e-02, 2.294986153278e-14, -1.656589608131e-14, 9.999999999941e-03, 2.385557445691e-14, -4.999999999995e-02
61, 4.078217261954e-02, 7.842750987966e-02, 0.000000000000e+00, 1.403654459864e-06, 1.803391219793e-07, 2.563535803388e-09, -3.023836244312e-07, 5.360765361710e-08, -9.999999999994e+05, 1.000000000007e-02, 2.164069463752e-14, 3.076242964066e-16, 9.999999999965e-03, 6.432918434052e-15, -4.999999999998e-02
62, 4.545830566329e-02, 4.820467332840e-02, 0.000000000000e+00, 3.369731040528e-07, 3.495773604706e-08, 3.040723759560e-08, -5.896271875080e-07, 2.035603478869e-08, -9.999999999992e+05, 1.000000000001e-02, 4.194928325647e-15, 3.648868511472e-15, 9.999999999959e-03, 2.442724174643e-15, -4.999999999996e-02
63, 7.612190126548e-02, 4.154319510669e-02, 0.000000000000e+00, 6.527148394121e-08, -2.170074819429e-07, 3.287887259262e-08, -1.632400219225e-06, 1.084200566260e-07, -9.999999999985e+05, 1.000000000001e-02, -2.604089783315e-14, 3.945464711114e-15, 9.999999999903e-03, 1.301040679512e-14, -4.999999999991e-02
64, 1.692308505517e-02, 8.526660336334e-02, 0.000000000000e+00, 1.744918391165e-06, 1.164471737418e-07, -2.255036479167e-08, -1.629241248311e-07, 4.775888666724e-08, -9.999999999998e+05, 1.000000000009e-02, 1.397366084901e-14, -2.706043775001e-15, 9.999999999972e-03, 5.731066400069e-15, -5.000000000001e-02
65, 8.342762233265e-02, 8.507180447487e-02, 0.000000000000e+00, 5.687082496782e-07, 2.758277252863e-07, -1.488153147093e-07, -9.823782386741e-07, 2.064491263235e-07, -9.999999999985e+05, 1.000000000002e-02, 3.309932703436e-14, -1.785783776512e-14, 9.999999999930e-03, 2.477389515882e-14, -4.999999999992e-02
66, 2.057265433753e-02, 3.782131471432e-02, 0.000000000000e+00, 2.928669952477e-07, 6.569559573372e-08, 2.754811439040e-08, -2.514078958137e-07, 5.939595087262e-08, -9.999999999995e+05, 1.000000000001e-02, 7.883471488047e-15, 3.305773726848e-15, 9.999999999979e-03, 7.127514104715e-15, -4.999999999997e-02
67, 6.029501194738e-02, 6.283588624197e-02, 0.000000000000e+00, 5.059571574546e-07, -3.263234375789e-08, 3.314713901164e-09, -7.045379822591e-07, 1.055897803178e-07, -9.999999999989e+05, 1.000000000002e-02, -3.915881250947e-15, 3.977656681397e-16, 9.999999999949e-03, 1.267077363813e-14, -4.999999999994e-02
68, 1.800259893295e-02, 1.706385385414e-02, 0.000000000000e+00, -9.750665137262e-09, 1.476814777370e-10, 3.028127385835e-08, -5.065865645354e-07, 5.949343128657e-08, -9.999999999994e+05, 9.999999999999e-03, 1.772177732844e-17, 3.633752863002e-15, 9.999999999969e-03, 7.139211754388e-15, -4.999999999997e-02
69, 6.017684480343e-02, 2.440725508662e-02, 0.000000000000e+00, -1.100415829569e-07, -9.204237969789e-08, 5.988048598637e-09, -1.026585232466e-06, -1.773146396301e-08, -9.999999999988e+05, 9.999999999993e-03, -1.104508556375e-14, 7.185658318365e-16, 9.999999999938e-03, -2.127775675561e-15, -4.999999999993e-02
70, 7.688312434474e-02, 1.515840836548e-02, 0.000000000000e+00, -2.495926861284e-07, -6.202512549585e-08, 6.872418073736e-09, -1.752568288904e-06, 5.806461162052e-08, -9.999999999985e+05, 9.999999999990e-03, -7.443015059502e-15, 8.246901688483e-16, 9.999999999900e-03, 6.967753394462e-15, -4.999999999991e-02
71, 8.073616199351e-02, 0.000000000000e+00, -3.214094746977e-01, -2.840533852577e-07, 3.505629187788e-08, 6.529595537103e-08, -1.570068222160e-06, -6.741039054119e-08, -9.999999999991e+05, 9.999999999993e-03, 4.206755025345e-15, 7.835514644524e-15, 9.999999999916e-03, -8.089246864943e-15, -4.999999999994e-02
72, 6.202534448044e-02, 0.000000000000e+00, -1.142234612468e-01, -2.500323009574e-07, 9.565213044209e-09, 7.013037270251e-08, -1.094272981087e-06, -6.031890522042e-08, -9.999999999988e+05, 9.999999999987e-03, 1.147825565305e-15, 8.415644724301e-15, 9.999999999936e-03, -7.238268626450e-15, -4.999999999993e-02
73, 1.898184509039e-02, 0.000000000000e+00, -3.106566124277e-01, -6.726768333465e-07, 1.034707482834e-08, 1.058842597623e-07, -2.600399533375e-07, -1.356123519257e-07, -9.999999999998e+05, 9.999999999967e-03, 1.241648979400e-15, 1.270611117148e-14, 9.999999999992e-03, -1.627348223108e-14, -4.999999999998e-02
74, 6.568211639850e-02, 0.000000000000e+00, -4.038296156372e-01, -6.657724346345e-07, 2.617947694083e-08, 5.116711452683e-09, -1.156020637912e-06, -1.856898604787e-07, -9.999999999998e+05, 9.999999999976e-03, 3.141537232900e-15, 6.140053743220e-16, 9.999999999947e-03, -2.228278325744e-14, -4.999999999997e-02
75, 3.930458833093e-02, 0.000000000000e+00, -3.755785860692e-01, -8.236287006487e-07, -1.671204560821e-10, 3.090129513103e-08, -5.035915158012e-07, -1.464886910743e-07, -1.000000000000e+06, 9.999999999964e-03, -2.005445472985e-17, 3.708155415724e-15, 9.999999999983e-03, -1.757864292891e-14, -4.999999999999e-02
76, 8.149128819863e-02, 0.000000000000e+00, -1.903676937715e-01, -1.524676918052e-07, 3.704907052927e-08, 1.789130347218e-07, -1.654297294509e-06, -5.958354760666e-08, -9.999999999988e+05, 9.999999999997e-03, 4.445888463512e-15, 2.146956416661e-14, 9.999999999907e-03, -7.150025712799e-15, -4.999999999992e-02
77, 6.225357225209e-02, 0.000000000000e+00, -2.688999131928e-01, -3.224281716116e-07, -3.902977237313e-09, 4.903416187195e-08, -9.891740600800e-07, -1.504962965591e-07, -9.999999999995e+05, 9.999999999989e-03, -4.683572684775e-16, 5.884099424634e-15, 9.999999999949e-03, -1.805955558709e-14, -4.999999999996e-02
78, 3.911237834612e-02, 0.000000000000e+00, -2.231720187641e-01, -3.298523046801e-07, -1.167550214495e-09, 1.998879296394e-07, -5.849894174996e-07, -1.542960738118e-07, -9.999999999995e+05, 9.999999999984e-03, -1.401060257394e-16, 2.398655155673e-14, 9.999999999969e-03, -1.851552885742e-14, -4.999999999996e-02
79, 1.858160180302e-02, 0.000000000000e+00, -1.807374735912e-01, -2.311401961682e-07, -1.119639521271e-08, 5.838132551019e-08, -3.664463292807e-07, -5.980218249614e-08, -9.999999999995e+05, 9.999999999987e-03, -1.343567425526e-15, 7.005759061223e-15, 9.999999999979e-03, -7.176261899537e-15, -4.999999999997e-02
80, 3.537054896119e-02, 0.000000000000e+00, -1.010853038998e-01, -1.719667731474e-07, 6.679588884321e-10, 7.147626915492e-08, -5.491921911016e-07, 2.629021614606e-08, -9.999999999991e+05, 9.999999999988e-03, 8.015506661185e-17, 8.577152298591e-15, 9.999999999966e-03, 3.154825937527e-15, -4.999999999995e-02
81, 8.428365567814e-02, 0.000000000000e+00, -4.200478180665e-01, -3.258808133885e-07, 3.650705631820e-08, 4.372911695617e-08, -1.766118937387e-06, -1.784782109616e-07, -9.999999999996e+05, 9.999999999997e-03, 4.380846758184e-15, 5.247494034741e-15, 9.999999999911e-03, -2.141738531539e-14, -4.999999999996e-02
82, 1.665728668420e-02, 0.000000000000e+00, -4.122470396993e-01, -1.164586247989e-06, 4.519671980599e-09, 4.811512647955e-08, -9.503811738934e-08, -1.323523922333e-07, -1.000000000000e+06, 9.999999999943e-03, 5.423606376719e-16, 5.773815177546e-15, 1.000000000001e-02, -1.588228706799e-14, -4.999999999999e-02
83, 8.370332653576e-02, 0.000000000000e+00, -8.591823100355e-02, -1.474064915921e-07, -3.785782100966e-09, 7.122113119520e-08, -1.999231189433e-06, -2.704595708008e-08, -9.999999999985e+05, 9.999999999997e-03, -4.542938521159e-16, 8.546535743424e-15, 9.999999999886e-03, -3.245514849610e-15, -4.999999999990e-02
84, 1.579043015284e-02, 0.000000000000e+00, -8.136455549817e-02, -6.193726289052e-08, -1.181847294069e-09, 8.802650823622e-09, -4.459137993830e-07, -4.239130105328e-09, -9.999999999994e+05, 9.999999999995e-03, -1.418216752883e-16, 1.056318098835e-15, 9.999999999972e-03, -5.086956126394e-16, -4.999999999997e-02
85, 1.000000000001e-01, 4.433401415983e-02, -1.796727110342e-01, -1.505153098454e-08, -1.828567197351e-07, 2.016587429932e-07, -1.846901189613e-06, 3.329269398988e-07, -9.999999999988e+05, 1.000000000001e-02, -2.194280636821e-14, 2.419904915919e-14, 9.999999999896e-03, 3.995123278785e-14, -4.999999999992e-02
86, 1.000000000002e-01, 5.895401558742e-02, -1.057348276522e-01, 5.450500692758e-09, -2.205404249943e-07, 2.088141259698e-07, -2.064418772029e-06, 2.712829940594e-07, -9.999999999983e+05, 1.000000000000e-02, -2.646485099932e-14, 2.505769511638e-14, 9.999999999880e-03, 3.255395928713e-14, -4.999999999990e-02
87, 9.999999999982e-02, 2.024225245627e-02, -3.391605253203e-01, -5.432423980286e-08, -4.892167159416e-08, 2.890482991846e-07, -1.885649786952e-06, -9.262459626452e-09, -9.999999999988e+05, 1.000000000000e-02, -5.870600591299e-15, 3.468579590216e-14, 9.999999999895e-03, -1.111495155174e-15, -4.999999999992e-02
88, 9.999999999997e-02, 2.371102299152e-02, -1.028664338721e-01, -5.767062594671e-08, -1.174074573164e-07, 5.930732164741e-08, -2.304751736422e-06, 1.526408764218e-07, -9.999999999984e+05, 1.000000000000e-02, -1.408889487797e-14, 7.116878597689e-15, 9.999999999870e-03, 1.831690517062e-14, -4.999999999990e-02
89, 9.999999999975e-02, 3.608073999231e-02, -4.204168487409e-01, -6.067744430362e-08, -1.295029300489e-07, 2.876422495895e-07, -2.078310191993e-06, -1.183286204360e-07, -9.999999999995e+05, 1.000000000001e-02, -1.554035160587e-14, 3.451706995074e-14, 9.999999999892e-03, -1.419943445232e-14, -4.999999999995e-02
90, 9.999999999995e-02, 4.242131735089e-02, -3.029976072694e-01, 1.908726214121e-09, -1.959308928771e-07, 2.403754519891e-07, -1.669120845488e-06, 1.524890199965e-08, -9.999999999988e+05, 1.000000000000e-02, -2.351170714525e-14, 2.884505423869e-14, 9.999999999905e-03, 1.829868239958e-15, -4.999999999992e-02
91, 1.000000000003e-01, 8.145279513636e-02, -2.965155385931e-01, 1.836534855621e-07, -1.748293212691e-07, 4.477451223661e-07, -1.027239098524e-06, 1.024163186467e-07, -9.999999999983e+05, 1.000000000000e-02, -2.097951855229e-14, 5.372941468394e-14, 9.999999999930e-03, 1.228995823761e-14, -4.999999999991e-02
92, 9.999999999997e-02, 6.207660988476e-02, -3.798335608252e-01, 2.574101513760e-08, -2.693149435224e-07, 2.797245985627e-07, -1.791914021879e-06, -1.551745194180e-08, -9.999999999994e+05, 1.000000000001e-02, -3.231779322269e-14, 3.356695182753e-14, 9.999999999904e-03, -1.862094233016e-15, -4.999999999995e-02
93, 9.999999999993e-02, 2.178476782642e-02, -2.166162129158e-01, 1.216944332959e-08, -6.032340265165e-08, 1.404609011727e-07, -1.928751266354e-06, 6.240667704827e-08, -9.999999999985e+05, 1.000000000000e-02, -7.238808318198e-15, 1.685530814073e-14, 9.999999999888e-03, 7.488801245792e-15, -4.999999999990e-02
94, 1.000000000001e-01, 6.193389387967e-02, -2.319752112936e-01, 1.615262590349e-08, -2.202205351589e-07, 2.502700014821e-07, -1.590973826953e-06, 2.275688157720e-07, -9.999999999988e+05, 1.000000000000e-02, -2.642646421907e-14, 3.003240017785e-14, 9.999999999908e-03, 2.730825789264e-14, -4.999999999992e-02
95, 1.000000000002e-01, 8.403176047591e-02, -4.014969208736e-01, 1.777378388513e-07, -2.414431131284e-07, 5.571260896826e-07, -1.009505164499e-06, 2.338503619143e-08, -9.999999999990e+05, 1.000000000001e-02, -2.897317357541e-14, 6.685513076192e-14, 9.999999999937e-03, 2.806204342972e-15, -4.999999999994e-02
96, 9.999999999968e-02, 1.626459848965e-02, -4.269154748117e-01, -4.726030898315e-08, -4.845975462044e-08, 2.707191252721e-07, -1.964527958383e-06, 1.642510073425e-07, -9.999999999995e+05, 1.000000000001e-02, -5.815170554453e-15, 3.248629503265e-14, 9.999999999898e-03, 1.971012088110e-14, -4.999999999996e-02
97, 1.000000000001e-01, 4.178167890719e-02, -8.197350501710e-02, -4.885915779706e-09, -1.567877903476e-07, 2.031935050913e-07, -2.018562306396e-06, 3.741612361551e-07, -9.999999999982e+05, 1.000000000000e-02, -1.881453484171e-14, 2.438322061095e-14, 9.999999999881e-03, 4.489934833862e-14, -4.999999999989e-02
