NodeID, PRESSURE1
214, 1.164706595611e+06
215, 1.174979768122e+06
216, 1.185248694348e+06
217, 1.195513384332e+06
218, 1.205773192458e+06
219, 1.216027957845e+06
220, 1.226277562276e+06
221, 1.236521499417e+06
222, 1.246759428416e+06
223, 1.256990831832e+06
224, 1.267215492708e+06
225, 1.277433375596e+06
226, 1.287644230714e+06
227, 1.297846725834e+06
228, 1.308042276171e+06
229, 1.318229615140e+06
230, 1.328408261460e+06
231, 1.338578157914e+06
232, 1.348738953845e+06
233, 1.358891675382e+06
234, 1.369034504671e+06
235, 1.379168741929e+06
236, 1.389293210966e+06
237, 1.399408730105e+06
238, 1.409514467331e+06
239, 1.419610673046e+06
240, 1.429698014868e+06
241, 1.439776034008e+06
242, 1.449845438484e+06
243, 1.459906236683e+06
244, 1.469958221469e+06
