NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
11, 5.220521753923e-17, 1.816331457783e-16, 0.000000000000e+00, -6.376500000000e+04, 2.037342050514e-10, -1.130412374061e-09, -6.376499999999e+04, -3.380342136785e-09, -2.550600000000e+05, 2.307336355403e-17, 2.444810460616e-17, -1.356494848873e-16, 1.692067166439e-16, -4.056410564142e-16, -1.147770000000e-02
12, -7.617836527245e-17, 1.661774623601e-16, 0.000000000000e+00, -6.376499999999e+04, 3.745161628688e-10, 9.216816789082e-10, -6.376499999999e+04, -3.035560791950e-09, -2.550600000000e+05, 1.499733576125e-16, 4.494193954426e-17, 1.106018014690e-16, 1.408125182720e-16, -3.642672950340e-16, -1.147770000000e-02
13, -1.397984362775e-16, 1.636565590395e-16, 0.000000000000e+00, -6.376500000000e+04, 2.051264402876e-10, 1.953153236624e-09, -6.376500000000e+04, -3.229570946824e-09, -2.550600000000e+05, -5.462233804713e-17, 2.461517283451e-17, 2.343783883949e-16, 1.151306106599e-16, -3.875485136189e-16, -1.147770000000e-02
14, 0.000000000000e+00, 1.324990670713e-16, 0.000000000000e+00, -6.376500000000e+04, 2.675274334749e-09, -2.709390108948e-10, -6.376500000000e+04, -3.057467443027e-09, -2.550600000000e+05, -1.906048294253e-16, 3.210329201698e-16, -3.251268130738e-17, 7.242381308295e-17, -3.668960931633e-16, -1.147770000000e-02
15, 0.000000000000e+00, 3.230322147064e-17, 0.000000000000e+00, -6.376500000000e+04, -2.093003038269e-10, -3.119855832770e-11, -6.376500000000e+04, -6.246361109288e-10, -2.550600000000e+05, -2.624203901057e-17, -2.511603645922e-17, -3.743826999324e-18, 1.226846276835e-16, -7.495633331145e-17, -1.147770000000e-02
16, 3.734808760304e-17, 6.178198325495e-18, 0.000000000000e+00, -6.376500000000e+04, 3.010842606650e-10, -8.090150526186e-10, -6.376500000000e+04, -4.968202235861e-10, -2.550600000000e+05, 3.326427935981e-17, 3.613011127980e-17, -9.708180631424e-17, 1.230600149365e-16, -5.961842683033e-17, -1.147770000000e-02
17, -6.402569801518e-17, 1.150152288453e-17, 0.000000000000e+00, -6.376500000000e+04, -2.060043223770e-10, 7.209074769420e-10, -6.376500000000e+04, -4.717290251851e-10, -2.550600000000e+05, 1.157441815890e-16, -2.472051868523e-17, 8.650889723304e-17, 1.144393077687e-16, -5.660748302222e-17, -1.147770000000e-02
18, -1.614523203156e-16, 1.774024543643e-17, 0.000000000000e+00, -6.376500000000e+04, -1.390866454490e-10, 2.332152094456e-09, -6.376500000000e+04, -5.942870187335e-10, -2.550600000000e+05, -2.105390680241e-17, -1.669039745388e-17, 2.798582513347e-16, 1.408743053274e-16, -7.131444224802e-17, -1.147770000000e-02
19, 0.000000000000e+00, 4.173697359527e-17, 0.000000000000e+00, -6.376500000001e+04, 4.630633481193e-10, -6.053201505908e-11, -6.376500000000e+04, -7.168737913067e-10, -2.550600000000e+05, -2.296670692822e-16, 5.556760177431e-17, -7.263841807090e-18, 1.439143268875e-16, -8.602485495680e-17, -1.147770000000e-02
20, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, 2.773684755961e-11, -1.442627308769e-11, -6.376500000000e+04, -1.070479503568e-10, -2.550600000000e+05, -3.313644647069e-17, 3.328421707153e-18, -1.731152770522e-18, 2.941446705560e-17, -1.284575404281e-17, -1.147770000000e-02
