NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRESS_XZ, STRESS_YZ, STRAIN_XX, STRAIN_YY, STRAIN_ZZ, STRAIN_XY, STRAIN_XZ, STRAIN_YZ
13, 2.000000000000e+07, 7.500000000000e-04, 5.000000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -7.268401030564e-07, -6.495448661262e-07, -1.009398161841e-06, 1.000000000000e-03, 1.000000000000e-03, 1.000000000000e-03, -1.817100257641e-16, -1.623862165315e-16, -2.523495404602e-16
14, 2.000000000000e+07, 1.000000000000e-03, 4.999999999999e-04, 0.000000000000e+00, 2.000000000001e+07, 2.000000000000e+07, 2.000000000001e+07, -1.659266548884e-06, -7.324373527524e-07, 1.772178417206e-06, 1.000000000000e-03, 9.999999999999e-04, 1.000000000000e-03, -4.148166372210e-16, -1.831093381881e-16, 4.430446043015e-16
15, 2.000000000000e+07, 0.000000000000e+00, 7.499999999999e-04, 0.000000000000e+00, 2.000000000000e+07, 1.999999999999e+07, 2.000000000000e+07, 1.310760435069e-06, -4.661788317906e-07, 1.691253143631e-06, 1.000000000000e-03, 9.999999999992e-04, 1.000000000000e-03, 3.276901087674e-16, -1.165447079476e-16, 4.228132859076e-16
16, 2.000000000000e+07, 2.500000000000e-04, 7.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 1.578857023700e-06, 1.408719497474e-06, -1.978491049921e-06, 9.999999999998e-04, 1.000000000000e-03, 9.999999999999e-04, 3.947142559251e-16, 3.521798743684e-16, -4.946227624803e-16
17, 2.000000000000e+07, 5.000000000000e-04, 7.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -3.742701461670e-07, -8.523197829106e-07, -6.037004370701e-07, 1.000000000000e-03, 1.000000000000e-03, 1.000000000000e-03, -9.356753654174e-17, -2.130799457276e-16, -1.509251092675e-16
18, 2.000000000000e+07, 7.500000000000e-04, 7.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -1.385976533981e-06, 2.400950548597e-07, 2.338985428446e-07, 9.999999999999e-04, 9.999999999999e-04, 1.000000000000e-03, -3.464941334952e-16, 6.002376371493e-17, 5.847463571116e-17
19, 2.000000000000e+07, 9.999999999999e-04, 7.499999999999e-04, 0.000000000000e+00, 1.999999999999e+07, 2.000000000000e+07, 1.999999999999e+07, -1.680109736668e-06, 9.277859220187e-07, 2.778778580816e-06, 9.999999999997e-04, 1.000000000000e-03, 9.999999999992e-04, -4.200274341669e-16, 2.319464805047e-16, 6.946946452040e-16
20, 2.000000000000e+07, 0.000000000000e+00, 9.999999999998e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 5.767560446723e-06, -3.169758589054e-09, 5.954647370343e-06, 9.999999999998e-04, 1.000000000000e-03, 1.000000000000e-03, 1.441890111681e-15, -7.924396472636e-19, 1.488661842586e-15
21, 2.000000000000e+07, 2.499999999999e-04, 9.999999999999e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -2.512247517535e-06, 1.309445640904e-06, 1.934031397871e-06, 1.000000000000e-03, 9.999999999994e-04, 1.000000000000e-03, -6.280618793837e-16, 3.273614102260e-16, 4.835078494676e-16
22, 2.000000000000e+07, 4.999999999999e-04, 1.000000000000e-03, 0.000000000000e+00, 2.000000000000e+07, 2.000000000001e+07, 2.000000000001e+07, -2.148893697615e-06, 2.351123302163e-06, -6.409709088939e-07, 9.999999999999e-04, 1.000000000000e-03, 1.000000000000e-03, -5.372234244037e-16, 5.877808255408e-16, -1.602427272235e-16
