NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRAIN_XX, STRAIN_YY, STRAIN_XY
32, 5.478759488889e+05, -1.160262448704e-05, -3.638238192130e-22, 5.478759488889e+05, 1.826253162963e+05, 1.826253162963e+05, -7.923398483088e-10, 1.826253162963e-05, -2.196398372198e-20, -7.923398483088e-20
33, 5.978736681481e+05, -1.064783313951e-05, -4.407812006834e-21, 5.978736681482e+05, 1.992912227161e+05, 1.992912227161e+05, -5.191491309121e-10, 1.992912227161e-05, -1.439710685488e-20, -5.191491309121e-20
34, 6.479212103241e+05, -9.609670740780e-06, -2.549715433220e-22, 6.479212103241e+05, 2.159737367747e+05, 2.159737367747e+05, -1.489823615399e-10, 2.159737367747e-05, 1.607336210730e-20, -1.489823615399e-20
35, 6.980227461343e+05, -8.488050777065e-06, 5.530791106446e-21, 6.980227461343e+05, 2.326742487114e+05, 2.326742487114e+05, -1.130082940073e-09, 2.326742487114e-05, 1.293894055260e-20, -1.130082940073e-19
36, 7.481824508102e+05, -7.282879779611e-06, -9.541320571848e-21, 7.481824508102e+05, 2.493941502701e+05, 2.493941502701e+05, 1.146955639574e-09, 2.493941502701e-05, 7.846687746374e-21, 1.146955639574e-19
37, 7.984045044444e+05, -5.994057316899e-06, 3.435793070441e-24, 7.984045044445e+05, 2.661348348148e+05, 2.661348348148e+05, -2.940319965369e-09, 2.661348348148e-05, -2.045099303234e-22, -2.940319965369e-19
38, 8.486930923380e+05, -4.621475986246e-06, 3.772866443384e-21, 8.486930923380e+05, 2.828976974460e+05, 2.828976974460e+05, 1.070665551526e-09, 2.828976974460e-05, -8.568926558088e-21, 1.070665551526e-19
39, 8.990524053472e+05, -3.165021404842e-06, -2.341519213544e-21, 8.990524053473e+05, 2.996841351158e+05, 2.996841351158e+05, -4.303701008563e-10, 2.996841351158e-05, -7.083693487132e-21, -4.303701008563e-20
40, 9.494866402315e+05, -1.624572200193e-06, 5.531449598674e-21, 9.494866402315e+05, 3.164955467438e+05, 3.164955467438e+05, -1.439975893077e-09, 3.164955467438e-05, -2.845736690829e-21, -1.439975893077e-19
41, 1.000000000000e+06, 0.000000000000e+00, -3.755167361562e-21, 1.000000000000e+06, 3.333333333333e+05, 3.333333333333e+05, -1.017731594368e-09, 3.333333333333e-05, -8.377553176444e-21, -1.017731594368e-19
42, 0.000000000000e+00, -1.662063978974e-05, 0.000000000000e+00, 1.194803189719e-08, 1.686885298113e-08, 7.204107532743e-09, 6.621245307257e-09, 2.372221647904e-19, 4.832183090942e-19, 6.621245307257e-19
43, 4.972399113426e+04, -1.657920313046e-05, 0.000000000000e+00, 4.972399113426e+04, 1.657466371142e+04, 1.657466371142e+04, 1.741308277290e-08, 1.657466371142e-06, -6.081955452238e-20, 1.741308277290e-18
44, 9.945212590278e+04, -1.645488969960e-05, 0.000000000000e+00, 9.945212590278e+04, 3.315070863425e+04, 3.315070863426e+04, 1.092034049446e-09, 3.315070863426e-06, -2.944974259040e-19, 1.092034049446e-19
45, 1.491885482870e+05, -1.624768913777e-05, 0.000000000000e+00, 1.491885482870e+05, 4.972951609568e+04, 4.972951609568e+04, 3.091942830142e-09, 4.972951609568e-06, 8.743383352501e-20, 3.091942830142e-19
46, 1.989374029630e+05, -1.595758417840e-05, 0.000000000000e+00, 1.989374029630e+05, 6.631246765432e+04, 6.631246765432e+04, -2.495377136137e-09, 6.631246765432e-06, -4.257219696597e-20, -2.495377136137e-19
47, 2.487028356481e+05, -1.558455064622e-05, 0.000000000000e+00, 2.487028356482e+05, 8.290094521605e+04, 8.290094521605e+04, -2.577166620076e-09, 8.290094521605e-06, 4.662277969493e-20, -2.577166620076e-19
48, 2.984889934491e+05, -1.512855745531e-05, 0.000000000000e+00, 2.984889934491e+05, 9.949633114968e+04, 9.949633114969e+04, 1.684955642746e-10, 9.949633114969e-06, -1.958216796552e-19, 1.684955642746e-20
49, 3.483000252083e+05, -1.458956660642e-05, 0.000000000000e+00, 3.483000252084e+05, 1.161000084028e+05, 1.161000084028e+05, 9.323918861511e-09, 1.161000084028e-05, 2.957636056813e-19, 9.323918861511e-19
50, 3.981400818519e+05, -1.396753318387e-05, 0.000000000000e+00, 3.981400818519e+05, 1.327133606173e+05, 1.327133606173e+05, 1.173541262558e-08, 1.327133606173e-05, -6.328902316764e-20, 1.173541262558e-18
51, 4.480133167361e+05, -1.326240535172e-05, 0.000000000000e+00, 4.480133167361e+05, 1.493377722454e+05, 1.493377722454e+05, -6.343820527458e-09, 1.493377722454e-05, -3.969437462774e-19, -6.343820527458e-19
52, 4.979238859954e+05, -1.247412434944e-05, 0.000000000000e+00, 4.979238859954e+05, 1.659746286652e+05, 1.659746286651e+05, -1.483382226470e-08, 1.659746286651e-05, 4.618976758443e-19, -1.483382226470e-18
53, 5.478759488889e+05, -1.160262448704e-05, 0.000000000000e+00, 5.478759488889e+05, 1.826253162963e+05, 1.826253162963e+05, -1.239655383703e-08, 1.826253162963e-05, -1.759644709206e-19, -1.239655383703e-18
54, 5.978736681481e+05, -1.064783313951e-05, 0.000000000000e+00, 5.978736681482e+05, 1.992912227160e+05, 1.992912227161e+05, -8.742380673580e-09, 1.992912227161e-05, -4.342323314149e-19, -8.742380673580e-19
