"TIME", "TEMPERATURE1"
1.066406250000e+08, 5.448278374960e-01
1.070312500000e+08, 5.455632804225e-01
1.074218750000e+08, 5.462951944683e-01
1.078125000000e+08, 5.470236075395e-01
1.082031250000e+08, 5.477485472372e-01
1.085937500000e+08, 5.484700408616e-01
1.089843750000e+08, 5.491881154162e-01
1.093750000000e+08, 5.499027976120e-01
1.097656250000e+08, 5.506141138713e-01
1.101562500000e+08, 5.513220903319e-01
1.105468750000e+08, 5.520267528506e-01
1.109375000000e+08, 5.527281270076e-01
1.113281250000e+08, 5.534262381096e-01
1.117187500000e+08, 5.541211111942e-01
1.121093750000e+08, 5.548127710328e-01
1.125000000000e+08, 5.555012421349e-01
1.128906250000e+08, 5.561865487511e-01
1.132812500000e+08, 5.568687148767e-01
1.136718750000e+08, 5.575477642554e-01
1.140625000000e+08, 5.582237203821e-01
1.144531250000e+08, 5.588966065067e-01
1.148437500000e+08, 5.595664456372e-01
1.152343750000e+08, 5.602332605428e-01
1.156250000000e+08, 5.608970737569e-01
1.160156250000e+08, 5.615579075808e-01
1.164062500000e+08, 5.622157840860e-01
1.167968750000e+08, 5.628707251178e-01
1.171875000000e+08, 5.635227522978e-01
1.175781250000e+08, 5.641718870271e-01
1.179687500000e+08, 5.648181504890e-01
1.183593750000e+08, 5.654615636520e-01
1.187500000000e+08, 5.661021472723e-01
1.191406250000e+08, 5.667399218968e-01
1.195312500000e+08, 5.673749078655e-01
1.199218750000e+08, 5.680071253145e-01
1.203125000000e+08, 5.686365941784e-01
1.207031250000e+08, 5.692633341925e-01
1.210937500000e+08, 5.698873648963e-01
1.214843750000e+08, 5.705087056349e-01
1.218750000000e+08, 5.711273755620e-01
1.222656250000e+08, 5.717433936425e-01
1.226562500000e+08, 5.723567786544e-01
1.230468750000e+08, 5.729675491913e-01
1.234375000000e+08, 5.735757236650e-01
1.238281250000e+08, 5.741813203071e-01
1.242187500000e+08, 5.747843571722e-01
1.246093750000e+08, 5.753848521391e-01
1.250000000000e+08, 5.759828229135e-01
1.253906250000e+08, 5.765782870304e-01
1.257812500000e+08, 5.771712618553e-01
1.261718750000e+08, 5.777617645873e-01
1.265625000000e+08, 5.783498122604e-01
1.269531250000e+08, 5.789354217459e-01
1.273437500000e+08, 5.795186097543e-01
1.277343750000e+08, 5.800993928370e-01
1.281250000000e+08, 5.806777873886e-01
1.285156250000e+08, 5.812538096487e-01
1.289062500000e+08, 5.818274757036e-01
1.292968750000e+08, 5.823988014881e-01
1.296875000000e+08, 5.829678027878e-01
1.300781250000e+08, 5.835344952402e-01
1.304687500000e+08, 5.840988943370e-01
1.308593750000e+08, 5.846610154257e-01
1.312500000000e+08, 5.852208737109e-01
1.316406250000e+08, 5.857784842567e-01
1.320312500000e+08, 5.863338619880e-01
1.324218750000e+08, 5.868870216918e-01
1.328125000000e+08, 5.874379780194e-01
1.332031250000e+08, 5.879867454879e-01
1.335937500000e+08, 5.885333384812e-01
1.339843750000e+08, 5.890777712524e-01
1.343750000000e+08, 5.896200579245e-01
1.347656250000e+08, 5.901602124927e-01
1.351562500000e+08, 5.906982488250e-01
1.355468750000e+08, 5.912341806647e-01
1.359375000000e+08, 5.917680216308e-01
1.363281250000e+08, 5.922997852202e-01
1.367187500000e+08, 5.928294848086e-01
1.371093750000e+08, 5.933571336524e-01
1.375000000000e+08, 5.938827448894e-01
1.378906250000e+08, 5.944063315406e-01
1.382812500000e+08, 5.949279065117e-01
1.386718750000e+08, 5.954474825938e-01
1.390625000000e+08, 5.959650724653e-01
1.394531250000e+08, 5.964806886925e-01
1.398437500000e+08, 5.969943437317e-01
1.402343750000e+08, 5.975060499298e-01
1.406250000000e+08, 5.980158195257e-01
1.410156250000e+08, 5.985236646516e-01
1.414062500000e+08, 5.990295973339e-01
1.417968750000e+08, 5.995336294949e-01
1.421875000000e+08, 6.000357729534e-01
1.425781250000e+08, 6.005360394261e-01
1.429687500000e+08, 6.010344405289e-01
1.433593750000e+08, 6.015309877777e-01
1.437500000000e+08, 6.020256925895e-01
1.441406250000e+08, 6.025185662837e-01
1.445312500000e+08, 6.030096200831e-01
1.449218750000e+08, 6.034988651149e-01
1.453125000000e+08, 6.039863124117e-01
1.457031250000e+08, 6.044719729127e-01
1.460937500000e+08, 6.049558574644e-01
1.464843750000e+08, 6.054379768220e-01
1.468750000000e+08, 6.059183416501e-01
1.472656250000e+08, 6.063969625237e-01
1.476562500000e+08, 6.068738499293e-01
1.480468750000e+08, 6.073490142657e-01
1.484375000000e+08, 6.078224658450e-01
1.488281250000e+08, 6.082942148936e-01
1.492187500000e+08, 6.087642715530e-01
1.496093750000e+08, 6.092326458806e-01
