NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, TEMPERATURE1, STRESS_XX, STRESS_XY, STRESS_YY, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_YY, STRAIN_ZZ
39, 1.729746349694e-10, 0.000000000000e+00, 2.499999999932e+01, -2.723039766654e-02, -1.204951844496e-05, 1.087114094205e-02, -4.096889639245e-03, -1.159035726490e-11, -1.204951844496e-14, 7.460412039393e-12, -2.360325125605e-14
40, 2.206622898749e-10, 0.000000000000e+00, 2.500000000303e+01, -3.490423641990e-02, 8.574567606409e-06, 1.800725306171e-02, -4.404741748811e-03, -1.522895159202e-11, 8.574567606409e-15, 1.122679314879e-11, 2.079574352457e-14
41, 2.808729120808e-10, 0.000000000000e+00, 2.499999999635e+01, -4.436461469743e-02, 1.359611437481e-03, 3.145816753987e-02, -6.223084584754e-03, -2.038034238451e-11, 1.359611437481e-12, 1.753104873414e-11, -1.309577328175e-12
42, 3.657141516708e-10, 0.000000000000e+00, 2.499999991445e+01, -6.343455850338e-02, 1.060079777753e-02, 6.027252243812e-02, -1.926504254873e-03, -3.346564241594e-11, 1.060079777753e-11, 2.838789805481e-11, -2.711615291689e-12
43, 4.740101473686e-10, 0.000000000000e+00, 2.499999944982e+01, -4.549143232900e-02, -1.898052199007e-02, 1.589526563124e-01, 3.527926761968e-02, -5.441565185351e-11, -1.898052199007e-11, 4.780639246720e-11, -1.403030187917e-11
44, 8.533528620231e-10, 0.000000000000e+00, 2.500000080708e+01, -7.044413052189e-01, -1.510077602782e-01, 1.159856813675e-01, 2.626688504198e-01, -2.904933177058e-10, -1.510077602782e-10, 1.197201755875e-10, 1.930617601136e-10
45, -6.261272501164e-10, -1.049015427798e-11, 2.500004559619e+01, -7.431453923059e-01, -7.764071323631e-02, -5.538668491879e+00, -4.300239855774e+00, 2.410905283524e-09, -7.764071323631e-11, 1.314373373778e-11, 6.323580517902e-10
46, 2.568204960874e-10, 1.325094979783e-10, 2.500001484829e+01, -1.473440480485e-01, -2.730002249062e-01, -1.557608836306e+00, -2.239852592355e+00, 8.462288140507e-10, -2.730002249062e-10, 1.410964199219e-10, -2.000254581028e-10
47, -7.966299654349e-11, -1.055568761764e-10, 2.500002029686e+01, -2.924864791418e-01, -7.828817427029e-02, -2.260420992332e+00, -2.241094465947e+00, 1.073513066624e-09, -7.828817427029e-11, 8.954581002905e-11, 9.920907322181e-11
48, 1.904786197820e-11, 6.046147682740e-11, 2.500001687331e+01, -1.496610513661e-01, 1.905989702642e-02, -1.996570349312e+00, -2.258170057359e+00, 1.022326789910e-09, 1.905989702642e-11, 9.887214093710e-11, -3.192771308617e-11
49, 5.858652954687e-11, -6.639600164703e-11, 2.500001641531e+01, -1.514807658989e-01, 1.182708063821e-02, -1.815516256611e+00, -2.126521044789e+00, 9.358778153495e-10, 1.182708063821e-11, 1.038600699935e-10, -5.164232409560e-11
50, -6.246134103923e-11, 9.324220411053e-11, 2.500002233828e+01, -3.127926958975e-01, 2.516518340184e-01, -2.741998036042e+00, -2.796760117226e+00, 1.307738179995e-09, 2.516518340184e-10, 9.313550992261e-11, 6.575446933064e-11
51, -2.478124768884e-11, -1.230302732857e-10, 2.500002280490e+01, -2.543087257678e-01, -1.742623666450e-01, -2.569268886314e+00, -2.765988717537e+00, 1.258088946357e-09, -1.742623666450e-10, 1.006088660837e-10, 2.248950471836e-12
52, -2.311725937374e-11, 1.201573550759e-10, 2.500002194223e+01, -1.972004316894e-01, 1.444855036452e-01, -2.657624303646e+00, -2.860425315696e+00, 1.327618221973e-09, 1.444855036452e-10, 9.740628599518e-11, -3.994220030092e-12
53, -3.724273083047e-11, -4.763150054707e-11, 2.500002092235e+01, -3.064213003706e-01, -2.126850779372e-01, -2.310746485018e+00, -2.392317996301e+00, 1.098424153221e-09, -2.126850779372e-10, 9.626156089717e-11, 5.547580525576e-11
54, 1.654807420360e-10, -1.067484691027e-11, 2.500001391059e+01, 4.105769516901e-03, 7.511474793313e-02, -1.626215357395e+00, -2.189713630315e+00, 9.303297083789e-10, 7.511474793313e-11, 1.151691449228e-10, -1.665799915370e-10
55, -1.339236911110e-10, 5.167893514520e-11, 2.500002399217e+01, -4.091704479975e-01, 3.119827655361e-01, -2.966361804187e+00, -2.849577065328e+00, 1.364795344663e-09, 3.119827655361e-10, 8.619966656792e-11, 1.445920359977e-10
56, -2.699080873747e-11, -1.297497721653e-10, 2.500002534584e+01, -2.658149282349e-01, -2.115270865738e-01, -2.872509722011e+00, -3.096804057109e+00, 1.407573265354e-09, -2.115270865738e-10, 1.042258684657e-10, -7.921299083677e-12
57, -1.946043045825e-11, 1.546007392541e-10, 2.500002381514e+01, -2.017577709427e-01, 1.504765120549e-01, -2.889650849314e+00, -3.086126852738e+00, 1.444046071145e-09, 1.504765120549e-10, 1.000995319588e-10, 1.861530247218e-12
58, 4.366160450888e-11, -1.369139436577e-10, 2.500002203313e+01, -2.077442956838e-01, -1.734575306136e-01, -2.467659922409e+00, -2.751274799518e+00, 1.237785619763e-09, -1.734575306136e-10, 1.078278064000e-10, -3.397963215434e-11
59, 2.216599753297e-12, 1.239299638503e-10, 2.500002281448e+01, -2.050796506423e-01, 2.658776881433e-01, -2.791326508126e+00, -3.021930155170e+00, 1.395187091277e-09, 2.658776881433e-10, 1.020636625352e-10, -1.323816098644e-11
60, -6.031416247547e-11, -1.178060142325e-10, 2.500002760355e+01, -3.000196290004e-01, -1.160782889958e-01, -3.154392157905e+00, -3.270474230151e+00, 1.528177081964e-09, -1.160782889958e-10, 1.009908175118e-10, 4.294978138884e-11
61, -5.356432634819e-11, 8.512601155149e-11, 2.500002548020e+01, -2.345813620019e-01, 2.205531827512e-02, -2.859133447177e+00, -3.013704453827e+00, 1.410687997374e-09, 2.205531827512e-11, 9.841195478654e-11, 2.112645146165e-11
62, 1.992963283686e-11, -4.912644505682e-11, 2.500001978293e+01, -2.216062464527e-01, -2.044119678027e-01, -2.166038976556e+00, -2.389947178721e+00, 1.075070267360e-09, -2.044119678027e-10, 1.028539023079e-10, -9.100198774495e-12
63, 1.320276181811e-10, -3.187469127611e-12, 2.500001597996e+01, -4.482097824364e-02, 1.397788282173e-01, -1.911726368407e+00, -2.400572338817e+00, 1.045436425546e-09, 1.397788282173e-10, 1.119837304640e-10, -1.324392547411e-10
64, -1.860697197012e-10, 6.392762869373e-11, 2.500002710177e+01, -3.936087332907e-01, 1.866346459251e-01, -3.345089086874e+00, -3.158429076565e+00, 1.555212818893e-09, 1.866346459251e-10, 7.947264210122e-11, 1.728026472559e-10
65, 4.828214755615e-12, -7.037742345860e-11, 2.500001980565e+01, -2.901514677839e-01, -3.299570574313e-01, -2.166731065325e+00, -2.372404714976e+00, 1.039287064601e-09, -3.299570574313e-10, 1.009972658308e-10, -1.839558994607e-12
66, 1.782782794165e-10, 2.677507467786e-11, 2.500001393611e+01, 1.178237166147e-02, 1.638888890959e-01, -1.640752246379e+00, -2.224477167815e+00, 9.426306242124e-10, 1.638888890959e-10, 1.163633151920e-10, -1.754991455257e-10
67, -1.751582608810e-10, 2.415867795842e-11, 2.500002701328e+01, -4.151387440934e-01, 2.479186687723e-01, -3.348967549667e+00, -3.170204906920e+00, 1.549848202650e-09, 2.479186687723e-10, 8.293379986305e-11, 1.723151212366e-10
68, -7.909930532549e-11, -5.825798525623e-11, 2.500002328878e+01, -3.058977029497e-01, -2.864223688456e-01, -2.585976937397e+00, -2.706382651679e+00, 1.236757315359e-09, -2.864223688456e-10, 9.671769813538e-11, 3.651484099397e-11
69, 8.471414843963e-11, 7.194222043290e-11, 2.500001669472e+01, -8.226963108763e-02, 5.468343548534e-03, -1.959650543494e+00, -2.366030840799e+00, 1.046950326516e-09, 5.468343548534e-12, 1.082598703125e-10, -9.493027833994e-11
70, 3.560196538903e-12, -3.505006645531e-11, 2.500001827250e+01, -2.333025642035e-01, -2.512101332128e-03, -2.021205575679e+00, -2.183737049320e+00, 9.932256938831e-10, -2.512101332128e-12, 9.927418814543e-11, 1.800845132482e-11
71, 3.904023823965e-11, -3.395969061116e-11, 2.500001811211e+01, -1.461762195820e-01, 8.445851688778e-02, -2.192667232794e+00, -2.500562679082e+00, 1.125967073419e-09, 8.445851688778e-11, 1.027215668128e-10, -5.122615633147e-11
72, -1.257289314755e-10, 4.806206320903e-11, 2.500002435102e+01, -3.163441304195e-01, 1.172714054650e-01, -2.988221942485e+00, -2.957815757075e+00, 1.422000945317e-09, 1.172714054650e-10, 8.606203928424e-11, 1.012651319893e-10
73, -3.620865295824e-11, -8.106534581866e-12, 2.500001986726e+01, -2.875565517681e-01, -2.398093650670e-01, -2.177130886641e+00, -2.304281571189e+00, 1.041118667107e-09, -2.398093650670e-10, 9.633149967024e-11, 3.275615739642e-11
74, 1.753123761926e-10, -6.324634375172e-12, 2.500001323281e+01, 5.364023747242e-03, 6.133582815777e-02, -1.534947132344e+00, -2.104258683454e+00, 8.864521474020e-10, 6.133582815777e-11, 1.162965693566e-10, -1.683592061985e-10
