NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
30, 0.000000000000e+00, 2.499999999999e-02, -1.250000000000e-01, 1.377157856797e-08, 4.915133910870e-08, -1.318589152365e-07, -4.044322691824e-08, -5.986006026343e-08, -1.000000000000e+06, 1.000000000000e-02, 5.898160693044e-15, -1.582306982838e-14, 9.999999999999e-03, -7.183207231611e-15, -5.000000000000e-02, 0.000000000000e+00
31, 2.499999999999e-02, 2.499999999999e-02, -1.250000000000e-01, -2.099184992432e-07, -3.493031107979e-11, -1.160179565470e-07, -2.118161404138e-07, -1.166263094485e-07, -1.000000000000e+06, 9.999999999992e-03, -4.191637329574e-18, -1.392215478564e-14, 9.999999999992e-03, -1.399515713381e-14, -5.000000000000e-02, 0.000000000000e+00
32, 5.000000000000e-02, 2.499999999998e-02, -1.250000000000e-01, 2.078039864225e-07, 2.998908277620e-08, 8.900362692785e-08, -6.023842035270e-08, -3.437093919922e-08, -1.000000000000e+06, 1.000000000001e-02, 3.598689933144e-15, 1.068043523134e-14, 9.999999999995e-03, -4.124512703907e-15, -5.000000000000e-02, 0.000000000000e+00
33, 7.500000000002e-02, 2.499999999997e-02, -1.250000000000e-01, 2.755100462393e-08, 1.320392593307e-07, 3.956432301310e-08, -1.407057919249e-08, 3.384739604696e-08, -1.000000000000e+06, 1.000000000000e-02, 1.584471111968e-14, 4.747718761572e-15, 1.000000000000e-02, 4.061687525635e-15, -5.000000000000e-02, 0.000000000000e+00
34, 1.000000000001e-01, 2.499999999995e-02, -1.250000000000e-01, 5.973239247291e-07, 2.997242182941e-09, -1.281861444465e-08, -2.709139248790e-07, 4.664011516643e-08, -9.999999999999e+05, 1.000000000003e-02, 3.596690619529e-16, -1.538233733359e-15, 9.999999999979e-03, 5.596813819972e-15, -5.000000000000e-02, 0.000000000000e+00
35, 0.000000000000e+00, 4.999999999998e-02, -1.250000000000e-01, 5.122685919327e-08, 7.407092676050e-08, 1.196804847407e-07, 2.491269605045e-08, -3.708057001905e-08, -9.999999999996e+05, 9.999999999998e-03, 8.888511211260e-15, 1.436165816888e-14, 9.999999999996e-03, -4.449668402286e-15, -4.999999999998e-02, 0.000000000000e+00
36, 2.499999999999e-02, 5.000000000000e-02, -1.250000000000e-01, -4.742627417902e-08, 2.864401807281e-08, -3.374095732961e-08, 2.093129298657e-07, 9.074939853746e-08, -1.000000000000e+06, 9.999999999996e-03, 3.437282168738e-15, -4.048914879554e-15, 1.000000000001e-02, 1.088992782450e-14, -5.000000000000e-02, 0.000000000000e+00
37, 4.999999999999e-02, 4.999999999999e-02, -1.250000000000e-01, 1.968566366068e-07, -6.160128713082e-09, -7.308617214506e-08, 1.896555425922e-07, -7.163891796087e-08, -1.000000000000e+06, 1.000000000001e-02, -7.392154455698e-16, -8.770340657407e-15, 1.000000000001e-02, -8.596670155305e-15, -5.000000000000e-02, 0.000000000000e+00
38, 7.500000000005e-02, 4.999999999996e-02, -1.250000000000e-01, 4.922844780913e-07, -1.643118567227e-07, 5.614963577486e-08, 2.156949062560e-07, -3.336988643554e-08, -1.000000000000e+06, 1.000000000002e-02, -1.971742280672e-14, 6.737956292983e-15, 1.000000000001e-02, -4.004386372264e-15, -5.000000000002e-02, 0.000000000000e+00
39, 1.000000000000e-01, 4.999999999996e-02, -1.250000000000e-01, -3.981190528634e-07, -2.559707188795e-07, -4.068996611207e-08, 2.904006446327e-07, -2.442040153886e-08, -9.999999999998e+05, 9.999999999975e-03, -3.071648626553e-14, -4.882795933448e-15, 1.000000000002e-02, -2.930448184663e-15, -4.999999999999e-02, 0.000000000000e+00
40, 0.000000000000e+00, 7.500000000001e-02, -1.250000000000e-01, -5.245303684873e-07, -8.892557414663e-08, -3.967708888857e-07, 1.010527220853e-07, -2.584065638252e-09, -1.000000000000e+06, 9.999999999976e-03, -1.067106889760e-14, -4.761250666628e-14, 1.000000000001e-02, -3.100878765903e-16, -5.000000000001e-02, 0.000000000000e+00
