#Dirchilet BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  231
#Node index, name, x, y, z,   value: 
1555   7.144500705123e+01 0.000000000000e+00 -7.602053714282e+02 1.000000000000e+08
1556   7.604336143008e+01 0.000000000000e+00 -7.726392343011e+02 1.000000000000e+08
1557   8.780958176660e+01 0.000000000000e+00 -7.452554036887e+02 1.000000000000e+08
1558   8.140755942181e+01 0.000000000000e+00 -7.551151525514e+02 1.000000000000e+08
1559   8.192112170193e+01 0.000000000000e+00 -7.637066567796e+02 1.000000000000e+08
1560   8.765173662219e+01 0.000000000000e+00 -7.707390319344e+02 1.000000000000e+08
1561   9.968450509070e+01 0.000000000000e+00 -7.729386221681e+02 1.000000000000e+08
1562   1.042394182260e+02 0.000000000000e+00 -7.466347924526e+02 8.437013237593e+07
1563   9.319807636550e+01 0.000000000000e+00 -7.594601746790e+02 1.000000000000e+08
1564   1.097526427222e+02 0.000000000000e+00 -7.615888759221e+02 8.711052361096e+07
1565   1.133833681902e+02 0.000000000000e+00 -7.743026794604e+02 1.000000000000e+08
1566   1.234793383121e+02 0.000000000000e+00 -7.493525041292e+02 8.688216571627e+07
1567   1.246286320243e+02 0.000000000000e+00 -7.664421729415e+02 1.000000000000e+08
1568   1.395145430466e+02 0.000000000000e+00 -7.707632206701e+02 1.000000000000e+08
1569   1.354895403667e+02 0.000000000000e+00 -7.585347329437e+02 1.000000000000e+08
1570   1.415642611002e+02 0.000000000000e+00 -7.470020432331e+02 1.000000000000e+08
1571   1.544136961169e+02 0.000000000000e+00 -7.484327820219e+02 1.000000000000e+08
1572   1.482215000773e+02 0.000000000000e+00 -7.588717397431e+02 1.000000000000e+08
1573   1.560856587007e+02 0.000000000000e+00 -7.709336351936e+02 1.000000000000e+08
1574   1.621686021543e+02 0.000000000000e+00 -7.574069262956e+02 1.000000000000e+08
2777   2.801765972723e+02 0.000000000000e+00 -7.003485850675e+02 1.000000000000e+08
2780   2.729405625464e+02 0.000000000000e+00 -7.450382587935e+02 1.000000000000e+08
2781   2.726346852763e+02 0.000000000000e+00 -7.326911702322e+02 1.000000000000e+08
2782   2.628711441647e+02 0.000000000000e+00 -7.369231811038e+02 1.000000000000e+08
2783   2.672877086256e+02 0.000000000000e+00 -7.834733829026e+02 1.000000000000e+08
2784   2.689303951939e+02 0.000000000000e+00 -7.749339964649e+02 1.000000000000e+08
2785   2.606477557505e+02 0.000000000000e+00 -7.771435210113e+02 1.000000000000e+08
3050   2.622890606217e+02 0.000000000000e+00 -8.014925937673e+02 1.000000000000e+08
3051   2.655042697283e+02 0.000000000000e+00 -7.935877855111e+02 1.000000000000e+08
3052   2.557898600756e+02 0.000000000000e+00 -7.935877157052e+02 1.000000000000e+08
3053   2.737869091716e+02 0.000000000000e+00 -7.913782609647e+02 1.000000000000e+08
3057   2.773537869662e+02 0.000000000000e+00 -7.711494557476e+02 1.000000000000e+08
3058   2.707138340912e+02 0.000000000000e+00 -7.648195938563e+02 1.000000000000e+08
3059   2.711571236491e+02 0.000000000000e+00 -7.551526614020e+02 1.000000000000e+08
3060   2.627337318768e+02 0.000000000000e+00 -7.589372021193e+02 1.000000000000e+08
3061   2.809206647608e+02 0.000000000000e+00 -7.509206505305e+02 1.000000000000e+08
3064   2.844875425554e+02 0.000000000000e+00 -7.306918453134e+02 1.000000000000e+08
3065   2.744181241736e+02 0.000000000000e+00 -7.225767676237e+02 1.000000000000e+08
3066   2.783931583751e+02 0.000000000000e+00 -7.104629876760e+02 1.000000000000e+08
3067   2.665403010960e+02 0.000000000000e+00 -7.124623125949e+02 1.000000000000e+08
3068   2.880544203500e+02 0.000000000000e+00 -7.104630400963e+02 1.000000000000e+08
3357   2.794528333645e+02 0.000000000000e+00 -7.266343064685e+02 1.000000000000e+08
3358   2.735264047250e+02 0.000000000000e+00 -7.276339689280e+02 1.000000000000e+08
3359   2.785611139159e+02 0.000000000000e+00 -7.316915077728e+02 1.000000000000e+08
3360   2.769306136536e+02 0.000000000000e+00 -7.479794546620e+02 1.000000000000e+08
3361   2.720488430978e+02 0.000000000000e+00 -7.500954600977e+02 1.000000000000e+08
3362   2.760388942050e+02 0.000000000000e+00 -7.530366559662e+02 1.000000000000e+08
3363   2.740338105287e+02 0.000000000000e+00 -7.679845248019e+02 1.000000000000e+08
3364   2.698221146425e+02 0.000000000000e+00 -7.698767951606e+02 1.000000000000e+08
3365   2.731420910801e+02 0.000000000000e+00 -7.730417261062e+02 1.000000000000e+08
