#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
9359  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.097222130283e+02 0.000000000000e+00
9363  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.900437577520e+02 0.000000000000e+00
9367  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.703653024758e+02 0.000000000000e+00
9371  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.506868471995e+02 0.000000000000e+00
9636  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.189913763089e+03 0.000000000000e+00
9643  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.008361498683e+03 0.000000000000e+00
9660  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.169741289266e+03 0.000000000000e+00
9671  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.028533972506e+03 0.000000000000e+00
9913  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.149568815443e+03 0.000000000000e+00
9917  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.129396341620e+03 0.000000000000e+00
9921  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.109223867797e+03 0.000000000000e+00
9925  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.089051393974e+03 0.000000000000e+00
9929  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.068878920151e+03 0.000000000000e+00
9933  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.048706446329e+03 0.000000000000e+00
74  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.008620851394e+02 0.000000000000e+00
75  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.820582048182e+02 0.000000000000e+00
76  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.632543244970e+02 0.000000000000e+00
77  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.444504441758e+02 0.000000000000e+00
78  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.256465638546e+02 0.000000000000e+00
79  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.068426835333e+02 0.000000000000e+00
80  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.880388032121e+02 0.000000000000e+00
81  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.692349228909e+02 0.000000000000e+00
82  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.504310425697e+02 0.000000000000e+00
83  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.316271622485e+02 0.000000000000e+00
84  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.128232819273e+02 0.000000000000e+00
85  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.940194016061e+02 0.000000000000e+00
86  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.752155212849e+02 0.000000000000e+00
87  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.564116409636e+02 0.000000000000e+00
88  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.376077606424e+02 0.000000000000e+00
89  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.188038803212e+02 0.000000000000e+00
90  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.000000000000e+02 0.000000000000e+00
1128  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.014953743988e+02 0.000000000000e+00
1129  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.814320454729e+02 0.000000000000e+00
1130  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.613687165469e+02 0.000000000000e+00
1131  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.413053876210e+02 0.000000000000e+00
1132  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.212420586951e+02 0.000000000000e+00
1133  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.011787297691e+02 0.000000000000e+00
1134  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.811154008432e+02 0.000000000000e+00
1135  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.610520719172e+02 0.000000000000e+00
1136  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.409887429913e+02 0.000000000000e+00
1137  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.209254140654e+02 0.000000000000e+00
1884  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.044760024529e+02 0.000000000000e+00
1885  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.838798768421e+02 0.000000000000e+00
1886  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.632837512313e+02 0.000000000000e+00
1887  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.426876256205e+02 0.000000000000e+00
1888  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.220915000096e+02 0.000000000000e+00
2081  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.099410014267e+03 0.000000000000e+00
2082  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.079916613085e+03 0.000000000000e+00
2083  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.060423211904e+03 0.000000000000e+00
2084  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.040929810723e+03 0.000000000000e+00
2085  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.021436409541e+03 0.000000000000e+00
2086  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.001943008360e+03 0.000000000000e+00
2087  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.824496071784e+02 0.000000000000e+00
2088  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.629562059970e+02 0.000000000000e+00
