"TIME", "TEMPERATURE1"
3.020000000000e+05, 2.586897053576e+01
3.030000000000e+05, 2.587386101344e+01
3.040000000000e+05, 2.587875459972e+01
3.050000000000e+05, 2.588365124941e+01
3.060000000000e+05, 2.588855091777e+01
3.070000000000e+05, 2.589345356050e+01
3.080000000000e+05, 2.589835913376e+01
3.090000000000e+05, 2.590326759416e+01
3.100000000000e+05, 2.590817889873e+01
3.110000000000e+05, 2.591309300496e+01
3.120000000000e+05, 2.591800987073e+01
3.130000000000e+05, 2.592292945438e+01
3.140000000000e+05, 2.592785171466e+01
3.150000000000e+05, 2.593277661072e+01
3.160000000000e+05, 2.593770410213e+01
3.170000000000e+05, 2.594263414887e+01
3.180000000000e+05, 2.594756671131e+01
3.190000000000e+05, 2.595250175023e+01
3.200000000000e+05, 2.595743922677e+01
3.210000000000e+05, 2.596237910251e+01
3.220000000000e+05, 2.596732133935e+01
3.230000000000e+05, 2.597226589963e+01
3.240000000000e+05, 2.597721274602e+01
3.250000000000e+05, 2.598216184158e+01
3.260000000000e+05, 2.598711314973e+01
3.270000000000e+05, 2.599206663426e+01
3.280000000000e+05, 2.599702225930e+01
3.290000000000e+05, 2.600197998935e+01
3.300000000000e+05, 2.600693978927e+01
3.310000000000e+05, 2.601190162423e+01
3.320000000000e+05, 2.601686545978e+01
3.330000000000e+05, 2.602183126179e+01
3.340000000000e+05, 2.602679899647e+01
3.350000000000e+05, 2.603176863035e+01
3.360000000000e+05, 2.603674013031e+01
3.370000000000e+05, 2.604171346353e+01
3.380000000000e+05, 2.604668859753e+01
3.390000000000e+05, 2.605166550013e+01
3.400000000000e+05, 2.605664413947e+01
3.410000000000e+05, 2.606162448402e+01
3.420000000000e+05, 2.606660650252e+01
3.430000000000e+05, 2.607159016403e+01
3.440000000000e+05, 2.607657543792e+01
3.450000000000e+05, 2.608156229384e+01
3.460000000000e+05, 2.608655070175e+01
3.470000000000e+05, 2.609154063189e+01
3.480000000000e+05, 2.609653205478e+01
3.490000000000e+05, 2.610152494123e+01
3.500000000000e+05, 2.610651926234e+01
3.510000000000e+05, 2.611151498948e+01
3.520000000000e+05, 2.611651209429e+01
3.530000000000e+05, 2.612151054870e+01
3.540000000000e+05, 2.612651032487e+01
3.550000000000e+05, 2.613151139528e+01
3.560000000000e+05, 2.613651373262e+01
3.570000000000e+05, 2.614151730988e+01
3.580000000000e+05, 2.614652210029e+01
3.590000000000e+05, 2.615152807733e+01
3.600000000000e+05, 2.615653521474e+01
3.610000000000e+05, 2.616154348652e+01
3.620000000000e+05, 2.616655286688e+01
3.630000000000e+05, 2.617156333032e+01
3.640000000000e+05, 2.617657485154e+01
3.650000000000e+05, 2.618158740552e+01
3.660000000000e+05, 2.618660096743e+01
3.670000000000e+05, 2.619161551271e+01
3.680000000000e+05, 2.619663101701e+01
3.690000000000e+05, 2.620164745623e+01
3.700000000000e+05, 2.620666480647e+01
3.710000000000e+05, 2.621168304408e+01
3.720000000000e+05, 2.621670214560e+01
3.730000000000e+05, 2.622172208782e+01
3.740000000000e+05, 2.622674284773e+01
3.750000000000e+05, 2.623176440254e+01
3.760000000000e+05, 2.623678672966e+01
3.770000000000e+05, 2.624180980674e+01
3.780000000000e+05, 2.624683361160e+01
3.790000000000e+05, 2.625185812228e+01
3.800000000000e+05, 2.625688331705e+01
3.810000000000e+05, 2.626190917433e+01
3.820000000000e+05, 2.626693567279e+01
3.830000000000e+05, 2.627196279126e+01
3.840000000000e+05, 2.627699050878e+01
3.850000000000e+05, 2.628201880459e+01
3.860000000000e+05, 2.628704765810e+01
3.870000000000e+05, 2.629207704892e+01
3.880000000000e+05, 2.629710695686e+01
3.890000000000e+05, 2.630213736190e+01
3.900000000000e+05, 2.630716824420e+01
3.910000000000e+05, 2.631219958412e+01
3.920000000000e+05, 2.631723136217e+01
3.930000000000e+05, 2.632226355906e+01
3.940000000000e+05, 2.632729615566e+01
3.950000000000e+05, 2.633232913305e+01
3.960000000000e+05, 2.633736247242e+01
3.970000000000e+05, 2.634239615519e+01
3.980000000000e+05, 2.634743016291e+01
3.990000000000e+05, 2.635246447732e+01
4.000000000000e+05, 2.635749908031e+01
4.010000000000e+05, 2.636253395393e+01
4.020000000000e+05, 2.636756908041e+01
4.030000000000e+05, 2.637260444213e+01
4.040000000000e+05, 2.637764002161e+01
4.050000000000e+05, 2.638267580157e+01
4.060000000000e+05, 2.638771176484e+01
4.070000000000e+05, 2.639274789443e+01
4.080000000000e+05, 2.639778417349e+01
4.090000000000e+05, 2.640282058534e+01
4.100000000000e+05, 2.640785711341e+01
4.110000000000e+05, 2.641289374132e+01
4.120000000000e+05, 2.641793045280e+01
4.130000000000e+05, 2.642296723176e+01
4.140000000000e+05, 2.642800406222e+01
4.150000000000e+05, 2.643304092836e+01
4.160000000000e+05, 2.643807781449e+01
4.170000000000e+05, 2.644311470507e+01
4.180000000000e+05, 2.644815158469e+01
4.190000000000e+05, 2.645318843808e+01
4.200000000000e+05, 2.645822525009e+01
4.210000000000e+05, 2.646326200573e+01
4.220000000000e+05, 2.646829869011e+01
4.230000000000e+05, 2.647333528849e+01
4.240000000000e+05, 2.647837178626e+01
4.250000000000e+05, 2.648340816893e+01
4.260000000000e+05, 2.648844442215e+01
4.270000000000e+05, 2.649348053166e+01
4.280000000000e+05, 2.649851648338e+01
4.290000000000e+05, 2.650355226330e+01
4.300000000000e+05, 2.650858785756e+01
4.310000000000e+05, 2.651362325241e+01
4.320000000000e+05, 2.651865843423e+01
4.330000000000e+05, 2.652369338951e+01
4.340000000000e+05, 2.652872810486e+01
4.350000000000e+05, 2.653376256699e+01
4.360000000000e+05, 2.653879676275e+01
4.370000000000e+05, 2.654383067909e+01
4.380000000000e+05, 2.654886430307e+01
4.390000000000e+05, 2.655389762186e+01
4.400000000000e+05, 2.655893062276e+01
4.410000000000e+05, 2.656396329315e+01
4.420000000000e+05, 2.656899562054e+01
4.430000000000e+05, 2.657402759253e+01
4.440000000000e+05, 2.657905919685e+01
4.450000000000e+05, 2.658409042131e+01
4.460000000000e+05, 2.658912125383e+01
4.470000000000e+05, 2.659415168243e+01
4.480000000000e+05, 2.659918169526e+01
4.490000000000e+05, 2.660421128053e+01
4.500000000000e+05, 2.660924042658e+01
4.510000000000e+05, 2.661426912183e+01
4.520000000000e+05, 2.661929735481e+01
4.530000000000e+05, 2.662432511414e+01
4.540000000000e+05, 2.662935238853e+01
4.550000000000e+05, 2.663437916681e+01
4.560000000000e+05, 2.663940543788e+01
4.570000000000e+05, 2.664443119073e+01
4.580000000000e+05, 2.664945641447e+01
4.590000000000e+05, 2.665448109828e+01
4.600000000000e+05, 2.665950523143e+01
4.610000000000e+05, 2.666452880330e+01
4.620000000000e+05, 2.666955180332e+01
4.630000000000e+05, 2.667457422106e+01
4.640000000000e+05, 2.667959604613e+01
4.650000000000e+05, 2.668461726825e+01
4.660000000000e+05, 2.668963787722e+01
4.670000000000e+05, 2.669465786294e+01
4.680000000000e+05, 2.669967721536e+01
4.690000000000e+05, 2.670469592455e+01
