"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
2.000000000000e-02, 9.800645244065e+02, -1.526093043646e-09, 0.000000000000e+00, -1.993547559350e+01, -4.983868898376e+00, -4.983868898374e+00, 3.450463678983e-13, -1.794192803415e-08, -2.081399211444e-21, 8.281112829560e-22
2.200000000000e-02, 9.743239473780e+02, -2.070905472564e-09, 0.000000000000e+00, -2.567605262197e+01, -6.419013155495e+00, -6.419013155494e+00, 3.427378761971e-13, -2.310844735978e-08, -1.624497688378e-21, 8.225709028729e-22
2.400000000000e-02, 9.680277393136e+02, -2.710423360685e-09, 0.000000000000e+00, -3.197226068643e+01, -7.993065171610e+00, -7.993065171609e+00, 4.790136164486e-13, -2.877503461779e-08, -1.333326867700e-21, 1.149632679477e-21
2.600000000000e-02, 9.612703991898e+02, -3.442886640501e-09, 0.000000000000e+00, -3.872960081020e+01, -9.682400202550e+00, -9.682400202549e+00, 3.977624505794e-13, -3.485664072918e-08, -1.282742109068e-21, 9.546298813905e-22
2.800000000000e-02, 9.541418538117e+02, -4.264947141158e-09, 0.000000000000e+00, -4.585814618830e+01, -1.146453654708e+01, -1.146453654707e+01, 2.786481778052e-13, -4.127233156947e-08, -1.235039776030e-21, 6.687556267324e-22
3.000000000000e-02, 9.467223869800e+02, -5.173025835553e-09, 0.000000000000e+00, -5.327761301998e+01, -1.331940325500e+01, -1.331940325500e+01, 3.247112757495e-13, -4.794985171798e-08, -1.333212715524e-21, 7.793070617989e-22
3.200000000000e-02, 9.390840254297e+02, -6.162666568970e-09, 0.000000000000e+00, -6.091597457029e+01, -1.522899364257e+01, -1.522899364257e+01, 3.181025392405e-13, -5.482437711326e-08, -1.545160904666e-21, 7.634460941773e-22
3.400000000000e-02, 9.312892650043e+02, -7.229119706405e-09, 0.000000000000e+00, -6.871073499568e+01, -1.717768374892e+01, -1.717768374892e+01, 3.446301296472e-13, -6.183966149611e-08, -1.336220198458e-21, 8.271123111532e-22
3.600000000000e-02, 9.233915114214e+02, -8.367529207949e-09, 0.000000000000e+00, -7.660848857861e+01, -1.915212214465e+01, -1.915212214465e+01, 3.625892105383e-13, -6.894763972075e-08, -1.213449614393e-21, 8.702141052919e-22
3.800000000000e-02, 9.154358517546e+02, -9.573064419329e-09, 0.000000000000e+00, -8.456414824542e+01, -2.114103706136e+01, -2.114103706135e+01, 2.935426066293e-13, -7.610773342088e-08, -1.204511607864e-21, 7.045022559104e-22
4.000000000000e-02, 9.074599622013e+02, -1.084101085172e-08, 0.000000000000e+00, -9.254003779867e+01, -2.313500944967e+01, -2.313500944967e+01, 2.755638436687e-13, -8.328603401880e-08, -1.298373074881e-21, 6.613532248048e-22
4.200000000000e-02, 8.994944883444e+02, -1.216645845225e-08, 0.000000000000e+00, -1.005055116556e+02, -2.512637791391e+01, -2.512637791391e+01, 2.988560857273e-13, -9.045496049008e-08, -1.255114545039e-21, 7.172546057456e-22
4.400000000000e-02, 8.915653389226e+02, -1.354550710488e-08, 0.000000000000e+00, -1.084346610774e+02, -2.710866526936e+01, -2.710866526936e+01, 4.215837281765e-13, -9.759119496970e-08, -1.379366641999e-21, 1.011800947624e-21
4.600000000000e-02, 8.836934088223e+02, -1.497406479982e-08, 0.000000000000e+00, -1.163065911777e+02, -2.907664779442e+01, -2.907664779442e+01, 3.118150722796e-13, -1.046759320599e-07, -1.317538372471e-21, 7.483561734711e-22
4.800000000000e-02, 8.758955039219e+02, -1.644827630358e-08, 0.000000000000e+00, -1.241044960781e+02, -3.102612401952e+01, -3.102612401952e+01, 3.901197383047e-13, -1.116940464703e-07, -1.266320564996e-21, 9.362873719313e-22
5.000000000000e-02, 8.681849830332e+02, -1.796452922346e-08, 0.000000000000e+00, -1.318150169668e+02, -3.295375424169e+01, -3.295375424169e+01, 4.310701800466e-13, -1.186335152701e-07, -1.176121878569e-21, 1.034568432112e-21
5.200000000000e-02, 8.605723054364e+02, -1.951944892640e-08, 0.000000000000e+00, -1.394276945636e+02, -3.485692364089e+01, -3.485692364089e+01, 3.053666174094e-13, -1.254849251072e-07, -1.073835173799e-21, 7.328798817825e-22
5.400000000000e-02, 8.530654996693e+02, -2.110988969184e-08, 0.000000000000e+00, -1.469345003307e+02, -3.673362508266e+01, -3.673362508266e+01, 3.501754700465e-13, -1.322410502976e-07, -1.384227799562e-21, 8.404211281117e-22
5.600000000000e-02, 8.456705626370e+02, -2.273292358534e-08, 0.000000000000e+00, -1.543294373630e+02, -3.858235934076e+01, -3.858235934076e+01, 4.109993702434e-13, -1.388964936267e-07, -1.425024854766e-21, 9.863984885843e-22
5.800000000000e-02, 8.383917979990e+02, -2.438582806637e-08, 0.000000000000e+00, -1.616082020010e+02, -4.040205050026e+01, -4.040205050026e+01, 3.363126926555e-13, -1.454473818009e-07, -1.373953105302e-21, 8.071504623733e-22
6.000000000000e-02, 8.312301641268e+02, -2.606571425105e-08, 0.000000000000e+00, -1.687698358732e+02, -4.219245896830e+01, -4.219245896829e+01, 3.066831749519e-13, -1.518928522859e-07, -1.391303431840e-21, 7.360396198844e-22
6.200000000000e-02, 8.241892741047e+02, -2.777064458336e-08, 0.000000000000e+00, -1.758107258953e+02, -4.395268147384e+01, -4.395268147384e+01, 3.719640123361e-13, -1.582296533058e-07, -1.413261407549e-21, 8.927136296066e-22
6.400000000000e-02, 8.172699860384e+02, -2.949843961353e-08, 0.000000000000e+00, -1.827300139616e+02, -4.568250349040e+01, -4.568250349040e+01, 4.472450383980e-13, -1.644570125654e-07, -1.429760518578e-21, 1.073388092155e-21
6.600000000000e-02, 8.104723024260e+02, -3.124706397612e-08, 0.000000000000e+00, -1.895276975740e+02, -4.738192439350e+01, -4.738192439350e+01, 2.901395627008e-13, -1.705749278166e-07, -1.314812475748e-21, 6.963349504819e-22
6.800000000000e-02, 8.037955711097e+02, -3.301462556232e-08, 0.000000000000e+00, -1.962044288903e+02, -4.905110722259e+01, -4.905110722259e+01, 2.930061571491e-13, -1.765839860013e-07, -1.313146009087e-21, 7.032147771578e-22
7.000000000000e-02, 7.972386096158e+02, -3.479936485994e-08, 0.000000000000e+00, -2.027613903842e+02, -5.069034759604e+01, -5.069034759604e+01, 3.973658943978e-13, -1.824852513458e-07, -1.307417263921e-21, 9.536781465547e-22
7.200000000000e-02, 7.907998083024e+02, -3.659964474639e-08, 0.000000000000e+00, -2.092001916976e+02, -5.230004792439e+01, -5.230004792439e+01, 3.313304269008e-13, -1.882801725278e-07, -1.487680220325e-21, 7.951930245619e-22
