"TIME", "PRESSURE1", "TEMPERATURE1"
1.103760000000e+08, 9.543911360298e+06, 4.731305125127e+02
1.130040000000e+08, 9.543075334127e+06, 4.731268692512e+02
1.156320000000e+08, 9.542249550228e+06, 4.731227400159e+02
1.182600000000e+08, 9.541433622634e+06, 4.731180886550e+02
1.208880000000e+08, 9.540627190260e+06, 4.731128792894e+02
1.235160000000e+08, 9.539829914899e+06, 4.731070765212e+02
1.261440000000e+08, 9.539041479434e+06, 4.731006456273e+02
1.287720000000e+08, 9.538261586199e+06, 4.730935527355e+02
1.314000000000e+08, 9.537489955483e+06, 4.730857649840e+02
1.340280000000e+08, 9.536726324187e+06, 4.730772506615e+02
1.366560000000e+08, 9.535970444559e+06, 4.730679793304e+02
1.392840000000e+08, 9.535222083077e+06, 4.730579219310e+02
1.419120000000e+08, 9.534481019400e+06, 4.730470508687e+02
1.445400000000e+08, 9.533747045407e+06, 4.730353400843e+02
1.471680000000e+08, 9.533019964335e+06, 4.730227651090e+02
1.497960000000e+08, 9.532299589960e+06, 4.730093031035e+02
1.524240000000e+08, 9.531585745861e+06, 4.729949328846e+02
1.550520000000e+08, 9.530878264740e+06, 4.729796349387e+02
1.576800000000e+08, 9.530176987789e+06, 4.729633914241e+02
1.603080000000e+08, 9.529481764122e+06, 4.729461861628e+02
1.629360000000e+08, 9.528792450233e+06, 4.729280046240e+02
1.655640000000e+08, 9.528108909495e+06, 4.729088338993e+02
1.681920000000e+08, 9.527431011726e+06, 4.728886626705e+02
1.708200000000e+08, 9.526758632758e+06, 4.728674811724e+02
1.734480000000e+08, 9.526091654049e+06, 4.728452811504e+02
1.760760000000e+08, 9.525429962320e+06, 4.728220558135e+02
1.787040000000e+08, 9.524773449236e+06, 4.727977997846e+02
1.813320000000e+08, 9.524122011076e+06, 4.727725090479e+02
1.839600000000e+08, 9.523475548476e+06, 4.727461808941e+02
1.865880000000e+08, 9.522833966142e+06, 4.727188138646e+02
1.892160000000e+08, 9.522197172609e+06, 4.726904076948e+02
1.918440000000e+08, 9.521565080029e+06, 4.726609632564e+02
1.944720000000e+08, 9.520937603934e+06, 4.726304825003e+02
1.971000000000e+08, 9.520314663061e+06, 4.725989683994e+02
1.997280000000e+08, 9.519696179155e+06, 4.725664248923e+02
2.023560000000e+08, 9.519082076808e+06, 4.725328568272e+02
2.049840000000e+08, 9.518472283294e+06, 4.724982699079e+02
2.076120000000e+08, 9.517866728425e+06, 4.724626706399e+02
2.102400000000e+08, 9.517265344412e+06, 4.724260662787e+02
2.128680000000e+08, 9.516668065732e+06, 4.723884647792e+02
2.154960000000e+08, 9.516074829023e+06, 4.723498747470e+02
2.181240000000e+08, 9.515485572948e+06, 4.723103053909e+02
2.207520000000e+08, 9.514900238109e+06, 4.722697664774e+02
2.233800000000e+08, 9.514318766941e+06, 4.722282682872e+02
